SDF_ID,county,year,month,sale_date,sale_price,dom_reported,data_year,zip_code,price_segment
C06-2021-0025765,Boone,2021,2,2021-02-19,295000.0,0,2021,46077,entry
C06-2021-0025766,Boone,2021,2,2021-02-19,365000.0,0,2021,46077,entry
C06-2021-0025767,Boone,2021,2,2021-02-17,265000.0,0,2021,46077,entry
C06-2021-0025770,Boone,2021,2,2021-02-19,700000.0,0,2021,46077,move_up
C06-2021-0025771,Boone,2021,2,2021-02-24,240000.0,4,2021,46075,entry
C06-2021-0025772,Boone,2021,2,2021-02-19,346000.0,0,2021,46075,entry
C06-2021-0025774,Boone,2021,2,2021-02-16,196000.0,0,2021,46077,entry
C06-2021-0025776,Boone,2021,1,2021-01-15,425000.0,0,2021,46077,move_up
C06-2021-0025777,Boone,2021,2,2021-02-12,386000.0,0,2021,46075,move_up
C06-2021-0025779,Boone,2021,2,2021-02-25,245000.0,0,2021,46077,entry
C06-2021-0025780,Boone,2021,1,2021-01-27,155000.0,0,2021,46052,entry
C06-2021-0025781,Boone,2021,2,2021-02-22,233500.0,0,2021,46075,entry
C06-2021-0025782,Boone,2021,2,2021-02-25,229500.0,0,2021,46052,entry
C06-2021-0025783,Boone,2021,2,2021-02-25,195000.0,0,2021,46077,entry
C06-2021-0025786,Boone,2021,2,2021-02-16,203000.0,0,2021,46077,entry
C06-2021-0025787,Boone,2021,2,2021-02-25,780500.0,0,2021,46077,move_up
C06-2021-0025788,Boone,2021,2,2021-02-19,60000.0,0,2021,46052,entry
C06-2021-0025798,Boone,2021,2,2021-02-12,185000.0,0,2021,46077,entry
C06-2021-0025799,Boone,2021,2,2021-02-23,262910.0,0,2021,46075,entry
C06-2021-0025800,Boone,2021,2,2021-02-25,240000.0,0,2021,46052,entry
C06-2021-0025800,Boone,2021,2,2021-02-25,240000.0,0,2021,46052,entry
C06-2021-0025801,Boone,2021,3,2021-03-01,350000.0,0,2021,46077,entry
C06-2021-0025802,Boone,2021,2,2021-02-12,432461.0,0,2021,46075,move_up
C06-2021-0025803,Boone,2021,2,2021-02-19,281000.0,1,2021,46077,entry
C06-2021-0025805,Boone,2021,2,2021-02-24,267459.0,0,2021,46075,entry
C06-2021-0025806,Boone,2021,2,2021-02-23,244708.0,0,2021,46075,entry
C06-2021-0025807,Boone,2021,2,2021-02-22,258100.0,0,2021,46075,entry
C06-2021-0025808,Boone,2021,2,2021-02-26,150000.0,0,2021,46075,entry
C06-2021-0025808,Boone,2021,2,2021-02-26,150000.0,0,2021,46075,entry
C06-2021-0025809,Boone,2021,1,2021-01-21,685000.0,0,2021,46077,move_up
C06-2021-0025809,Boone,2021,1,2021-01-21,685000.0,0,2021,46077,move_up
C06-2021-0025810,Boone,2021,2,2021-02-17,462685.0,0,2021,46077,move_up
C06-2021-0025811,Boone,2021,2,2021-02-12,285462.0,0,2021,46075,entry
C06-2021-0025812,Boone,2021,2,2021-02-25,201000.0,0,2021,46052,entry
C06-2021-0025813,Boone,2021,1,2021-01-29,419055.0,0,2021,46077,move_up
C06-2021-0025814,Boone,2021,2,2021-02-26,435000.0,0,2021,46077,move_up
C06-2021-0025815,Boone,2021,2,2021-02-25,292000.0,0,2021,46052,entry
C06-2021-0025817,Boone,2021,2,2021-02-26,100000.0,0,2021,46052,entry
C06-2021-0025818,Boone,2021,2,2021-02-26,500500.0,10,2021,46077,move_up
C06-2021-0025820,Boone,2021,2,2021-02-26,325000.0,0,2021,46052,entry
C06-2021-0025820,Boone,2021,2,2021-02-26,325000.0,0,2021,46052,entry
C06-2021-0025821,Boone,2021,2,2021-02-27,2000000.0,0,2021,46077,luxury
C06-2021-0025821,Boone,2021,2,2021-02-27,2000000.0,0,2021,46077,luxury
C06-2021-0025823,Boone,2021,2,2021-02-19,135000.0,0,2021,46147,entry
C06-2021-0025827,Boone,2021,2,2021-02-26,154000.0,1,2021,46052,entry
C06-2021-0025829,Boone,2021,2,2021-02-25,309796.0,0,2021,46075,entry
C06-2021-0025830,Boone,2021,2,2021-02-24,221660.0,0,2021,46052,entry
C06-2021-0025831,Boone,2021,2,2021-02-19,170000.0,0,2021,46052,entry
C06-2021-0025832,Boone,2021,3,2021-03-01,315000.0,0,2021,46075,entry
C06-2021-0025833,Boone,2021,2,2021-02-25,225000.0,3,2021,46075,entry
C06-2021-0025834,Boone,2021,1,2021-01-29,594244.0,0,2021,46077,move_up
C06-2021-0025835,Boone,2021,2,2021-02-25,180000.0,0,2021,46052,entry
C06-2021-0025835,Boone,2021,2,2021-02-25,180000.0,0,2021,46052,entry
C06-2021-0025836,Boone,2021,2,2021-02-26,185000.0,0,2021,46077,entry
C06-2021-0025836,Boone,2021,2,2021-02-26,185000.0,0,2021,46077,entry
C06-2021-0025837,Boone,2021,2,2021-02-26,175500.0,0,2021,46052,entry
C06-2021-0025838,Boone,2021,2,2021-02-26,259000.0,0,2021,46077,entry
C06-2021-0025839,Boone,2021,3,2021-03-01,395000.0,0,2021,46077,move_up
C06-2021-0025840,Boone,2021,2,2021-02-25,2174000.0,0,2021,46077,luxury
C06-2021-0025841,Boone,2021,2,2021-02-26,149000.0,0,2021,46077,entry
C06-2021-0025841,Boone,2021,2,2021-02-26,149000.0,0,2021,46077,entry
C06-2021-0025842,Boone,2021,2,2021-02-26,169000.0,0,2021,46077,entry
C06-2021-0025842,Boone,2021,2,2021-02-26,169000.0,0,2021,46077,entry
C06-2021-0025845,Boone,2021,2,2021-02-26,135000.0,0,2021,46052,entry
C06-2021-0025846,Boone,2021,2,2021-02-26,394490.0,0,2021,46075,move_up
C06-2021-0025848,Boone,2021,2,2021-02-26,526000.0,0,2021,46077,move_up
C06-2021-0025850,Boone,2021,2,2021-02-26,394500.0,0,2021,46077,move_up
C06-2021-0025851,Boone,2021,2,2021-02-26,131500.0,0,2021,46077,entry
C06-2021-0025853,Boone,2021,2,2021-02-26,1147500.0,0,2021,46077,luxury
C06-2021-0025855,Boone,2021,2,2021-02-26,140000.0,0,2021,46052,entry
C06-2021-0025855,Boone,2021,2,2021-02-26,140000.0,0,2021,46052,entry
C06-2021-0025857,Boone,2021,2,2021-02-23,301000.0,0,2021,46077,entry
C06-2021-0025858,Boone,2021,3,2021-03-01,1157000.0,0,2021,46077,luxury
C06-2021-0025859,Boone,2021,3,2021-03-03,280000.0,0,2021,46077,entry
C06-2021-0025861,Boone,2021,2,2021-02-25,360000.0,0,2021,46052,entry
C06-2021-0025863,Boone,2021,2,2021-02-26,537500.0,0,2021,46112,move_up
C06-2021-0025864,Boone,2021,2,2021-02-26,110000.0,0,2021,46052,entry
C06-2021-0025866,Boone,2021,2,2021-02-26,348845.0,0,2021,46077,entry
C06-2021-0025867,Boone,2021,3,2021-03-01,362000.0,0,2021,46077,entry
C06-2021-0025868,Boone,2021,2,2021-02-26,617260.0,0,2021,46077,move_up
C06-2021-0025869,Boone,2021,2,2021-02-23,712500.0,0,2021,46052,move_up
C06-2021-0025870,Boone,2021,2,2021-02-26,195000.0,0,2021,46052,entry
C06-2021-0025871,Boone,2021,2,2021-02-26,520000.0,0,2021,46077,move_up
C06-2021-0025875,Boone,2021,2,2021-02-25,622000.0,0,2021,46077,move_up
C06-2021-0025877,Boone,2021,2,2021-02-26,512000.0,0,2021,46077,move_up
C06-2021-0025878,Boone,2021,2,2021-02-25,396900.0,0,2021,46075,move_up
C06-2021-0025880,Boone,2021,2,2021-02-23,285000.0,0,2021,46075,entry
C06-2021-0025881,Boone,2021,3,2021-03-05,289000.0,0,2021,46077,entry
C06-2021-0025882,Boone,2021,3,2021-03-04,149000.0,0,2021,46112,entry
C06-2021-0025884,Boone,2021,3,2021-03-04,305000.0,0,2021,46075,entry
C06-2021-0025885,Boone,2021,3,2021-03-05,345000.0,0,2021,46077,entry
C06-2021-0025885,Boone,2021,3,2021-03-05,345000.0,0,2021,46077,entry
C06-2021-0025886,Boone,2021,2,2021-02-25,742000.0,0,2021,46077,move_up
C06-2021-0025888,Boone,2021,3,2021-03-05,215000.0,0,2021,46075,entry
C06-2021-0025889,Boone,2021,3,2021-03-05,185000.0,0,2021,46052,entry
C06-2021-0025890,Boone,2021,3,2021-03-05,269000.0,0,2021,46077,entry
C06-2021-0025891,Boone,2021,2,2021-02-26,210000.0,0,2021,46077,entry
C06-2021-0025892,Boone,2021,3,2021-03-04,190000.0,0,2021,46052,entry
C06-2021-0025893,Boone,2021,2,2021-02-25,715000.0,0,2021,46077,move_up
C06-2021-0025894,Boone,2021,3,2021-03-02,208000.0,0,2021,46075,entry
C06-2021-0025895,Boone,2021,3,2021-03-03,875000.0,0,2021,46077,move_up
C06-2021-0025900,Boone,2021,3,2021-03-05,329000.0,0,2021,46077,entry
C06-2021-0025901,Boone,2021,2,2021-02-25,750000.0,0,2021,46077,move_up
C06-2021-0025903,Boone,2021,3,2021-03-08,299900.0,0,2021,46077,entry
C06-2021-0025906,Boone,2021,3,2021-03-05,735000.0,0,2021,46077,move_up
C06-2021-0025907,Boone,2021,3,2021-03-05,479000.0,0,2021,46077,move_up
C06-2021-0025908,Boone,2021,3,2021-03-04,290000.0,0,2021,46077,entry
C06-2021-0025909,Boone,2021,3,2021-03-10,260000.0,0,2021,46075,entry
C06-2021-0025910,Boone,2021,3,2021-03-10,228450.0,0,2021,46052,entry
